1,1401
2,3101
3,6201
4,6401
5,21801
6,49401
7,64201
8,64901
9,65401
5582,801501
11,74001
12,86701
13,91101
14,95101
15,95601
16,96501
18,100901
19,113401
20,115001
21,118401
22,123601
23,301
24,11201
25,39701
26,401
27,501
28,601
30,1101
31,701
32,101
33,2001
34,1501
35,70701
36,1301
37,2901
38,4101
39,59801
40,2401
41,1001
42,4201
43,4701
44,2301
45,1201
46,2201
47,4001
48,16601
49,3301
50,2101
51,3401
52,20201
53,9401
55,4901
56,2501
57,7301
58,3001
59,5301
60,2601
61,3601
62,901
63,1901
64,15601
65,12801
66,10701
67,5501
68,30901
69,4301
70,9501
71,201
72,5201
73,32301
74,2701
75,7401
76,87901
77,11101
78,1801
79,49701
80,1601
81,12001
82,16001
83,8901
84,73901
85,29801
86,24201
87,9001
88,4601
89,18401
90,10201
91,5101
92,15001
93,2801
94,6801
95,5701
96,5901
97,30101
98,9601
99,6001
100,13201
101,7001
102,10901
103,30201
104,8801
105,5601
106,71401
107,80401
108,10101
109,101201
110,14001
111,85601
112,9101
113,3701
114,15901
115,12101
116,7701
117,3201
118,12201
119,21001
120,7201
121,801
122,6601
123,5001
124,82401
125,50201
126,6501
127,15701
128,20601
129,87701
130,58901
131,18601
132,8001
133,7801
134,1701
135,10401
136,23101
137,38801
138,7601
139,11501
140,22101
141,12301
142,14601
143,12501
144,10601
145,40501
146,25201
147,88201
148,18301
149,72401
150,17401
151,15401
152,11701
153,4501
154,110401
155,11801
156,4401
157,27801
158,27701
159,18101
160,7501
161,12601
162,16901
163,8101
164,106201
165,71701
166,5401
167,86601
168,22901
169,15201
170,74401
171,18201
172,31301
173,119801
174,104701
175,12901
176,26001
178,37001
179,18001
180,23801
181,10801
182,4801
183,18501
184,23501
185,11601
186,9701
188,21301
189,17601
190,20101
191,26301
192,18801
5583,801601
194,120701
195,6701
196,19401
197,25001
198,97701
199,14101
200,9201
201,46701
202,34501
203,14901
204,8401
205,20801
206,35901
207,17901
208,26701
209,11901
210,27501
211,28101
212,15801
213,30301
214,88001
215,8201
216,23401
217,17301
218,13401
219,16701
220,6101
221,19201
222,3901
223,39401
224,27901
225,59501
226,28401
227,43701
228,33301
229,45401
230,14801
231,21101
232,21601
233,29101
234,17101
235,7101
236,96201
237,100401
238,14301
239,14201
240,46101
241,20501
242,16501
243,55301
244,68001
245,9801
246,26201
247,26901
249,83001
250,37701
251,25301
252,104601
253,29501
255,5801
256,19501
257,19901
258,20401
259,18701
260,74101
262,59301
263,107601
264,33001
265,17201
266,30501
267,38001
268,16801
269,53501
270,38501
271,29701
272,17701
273,3801
274,22601
275,33501
276,19601
277,19701
278,54701
279,66301
280,55201
281,37301
282,28901
283,13001
284,19001
285,73501
286,20301
287,33601
288,25401
